3,0.627719,2,6.372281,0.627719,2,6.372281
10,4.455992,20.431729,67.840399,0.512543,0.55164,0.629808
20,17.235222,81.223819,270.495189,0.503097,0.512479,0.528819
30,38.53868,182.544889,608.253606,0.501373,0.505511,0.512543
40,68.364136,324.394506,1081.115447,0.500772,0.503093,0.507004
50,106.711318,506.772618,1689.080688,0.500494,0.501978,0.504468
60,153.580161,729.679212,2432.149321,0.500343,0.501373,0.503097
70,208.970642,993.114283,3310.321344,0.500252,0.501008,0.502273
80,272.882751,1297.07783,4323.596758,0.500193,0.500772,0.501739
90,345.316483,1641.569852,5471.97556,0.500152,0.50061,0.501373
100,426.271836,2026.590348,6755.457752,0.500123,0.500494,0.501112
120,613.747401,2918.216761,9727.732302,0.500086,0.500343,0.500772
150,958.872886,4559.619934,15199.419543,0.500055,0.500219,0.500494
