9,25,121,441,1681,2601,6561,10201
0.75,0.7,0.648693,0.622178,0.603088,0.598084,0.588931,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
0.25,0.3,0.351307,0.377822,0.396912,0.401916,0.411069,0
0.003,0.003,0.007,0.2,9.948,36.1,580,2180
