x y
0.48 -199.98195
0.49 -202.683
0.5 -197.354
0.51 -199.98195
0.52 -202.683
0.53 -197.354
0.54 -199.98195
0.55 -202.683
0.56 -197.354
0.57 -199.98195
0.58 -203.997
0.59 -202.092
0.6 -201.213
0.61 -199.577
0.62 -197.094
0.63 -194.269
0.64 -190.922
0.65 -185.5
0.66 -175.69
0.67 -134.21
0.68 -81.7
0.69 -23.1
0.7 30.7
0.71 76.5
0.72 107.1
0.73 133.6
0.74 168
0.75 184.5
0.76 187.9
0.77 178.8
0.78 136.3
0.79 72.8
0.8 -2.4
0.81 -65.2
0.82 -108.01
0.83 -138.36
0.84 -160.55
0.85 -171.17
0.86 -178.88
0.87 -186.16
0.88 -187.34
0.89 -189.15
0.9 -192.795
0.91 -191.608
0.92 -191.421
0.93 -193.44
0.94 -191.03
0.95 -190.354
0.96 -192.215
