N,9,25,121,441,1681,2601
Runtime(s),0.003,0.003,0.007,0.2,9.948,36.1
PROBLEM(s),1.50E-05,2.10E-05,0.000199,0.001173,0.020578,0.052503
LU(s),2.00E-06,3.30E-05,0.003537,0.194482,9.89144,35.9966
FWD(s),1.00E-06,5.00E-06,4.40E-05,0.000489,0.008348,0.017034
BCK(s),1.00E-06,3.00E-06,4.60E-05,0.000532,0.010656,0.019895
