x y
0 1
0.2 1.01839
0.4 1.06759
0.6 1.13952
0.8 1.22723
1 1.32468
1.2 1.42667
1.4 1.52873
1.6 1.62704
1.8 1.71837
2 1.8
2.2 1.86971
2.4 1.92571
2.6 1.96667
2.8 1.99162
3 2
3.2 1.99162
3.4 1.96667
3.6 1.92571
3.8 1.86971
4 1.8
4.2 1.71837
4.4 1.62704
4.6 1.52873
4.8 1.42667
5 1.32468
5.2 1.22723
5.4 1.13952
5.6 1.06759
5.8 1.01839
6 1
