V,v1,v2,Id1,Id2,Id3,Id4,Ir,Td1,Td2,Td3,Td4
0.77,0.6605264048,0.1094735952,56.1052809531,-1.0,-1.0,56.1052809531,55.1052809531,312.2840936351,301.3210528095,301.3210528095,312.2840936351
0.78,0.6700145891,0.1099854109,57.0029178101,-1.0,-1.0,57.0029178101,56.0029178101,312.5389786813,301.3400291781,301.3400291781,312.5389786813
0.79,0.6795076058,0.1104923942,57.901521161,-1.0,-1.0,57.901521161,56.901521161,312.7953554012,301.3590152116,301.3590152116,312.7953554012
0.8,0.6890053053,0.1109946947,58.8010610626,-1.0,-1.0,58.8010610626,57.8010610626,313.0532116398,301.3780106106,301.3780106106,313.0532116398
0.81,0.6985075437,0.1114924563,59.7015087372,-1.0,-1.0,59.7015087372,58.7015087372,313.3125357095,301.3970150874,301.3970150874,313.3125357095
0.82,0.7080141826,0.1119858174,60.6028365141,-1.0,-1.0,60.6028365141,59.6028365141,313.5733163712,301.4160283651,301.4160283651,313.5733163712
0.83,0.7175250889,0.1124749111,61.505017775,-1.0,-1.0,61.505017775,60.505017775,313.835542816,301.4350501777,301.4350501777,313.835542816
0.84,0.7270401345,0.1129598655,62.4080269023,-1.0,-1.0,62.4080269023,61.4080269023,314.0992046486,301.454080269,301.454080269,314.0992046486
0.85,0.7365591962,0.1134408038,63.3118392303,-1.0,-1.0,63.3118392303,62.3118392303,314.3642918708,301.4731183923,301.4731183923,314.3642918708
0.86,0.746082155,0.113917845,64.2164309997,-1.0,-1.0,64.2164309997,63.2164309997,314.6307948664,301.49216431,301.49216431,314.6307948664
0.87,0.7556088966,0.1143911034,65.1217793143,-1.0,-1.0,65.1217793143,64.1217793143,314.898704386,301.5112177931,301.5112177931,314.898704386
0.88,0.7651393105,0.1148606895,66.0278621005,-1.0,-1.0,66.0278621005,65.0278621005,315.1680115338,301.530278621,301.530278621,315.1680115338
0.89,0.7746732903,0.1153267097,66.934658069,-1.0,-1.0,66.934658069,65.934658069,315.4387077539,301.5493465807,301.5493465807,315.4387077539
0.9,0.7842107334,0.1157892666,67.8421466783,-1.0,-1.0,67.8421466783,66.8421466783,315.710784818,301.5684214668,301.5684214668,315.710784818
0.91,0.7937515405,0.1162484595,68.7503081009,-1.0,-1.0,68.7503081009,67.7503081009,315.9842348131,301.587503081,301.587503081,315.9842348131
0.92,0.803295616,0.116704384,69.6591231907,-1.0,-1.0,69.6591231907,68.6591231907,316.2590501304,301.6065912319,301.6065912319,316.2590501304
0.93,0.8128428673,0.1171571327,70.5685734526,-1.0,-1.0,70.5685734526,69.5685734526,316.5352234541,301.6256857345,301.6256857345,316.5352234541
0.94,0.8223932051,0.1176067949,71.4786410136,-1.0,-1.0,71.4786410136,70.4786410136,316.8127477514,301.6447864101,301.6447864101,316.8127477514
0.95,0.831946543,0.118053457,72.3893085956,-1.0,-1.0,72.3893085956,71.3893085956,317.0916162623,301.663893086,301.663893086,317.0916162623
0.96,0.8415027974,0.1184972026,73.3005594892,-1.0,-1.0,73.3005594892,72.3005594892,317.3718224902,301.6830055949,301.6830055949,317.3718224902
0.97,0.8510618876,0.1189381124,74.2123775293,-1.0,-1.0,74.2123775293,73.2123775293,317.6533601932,301.7021237753,301.7021237753,317.6533601932
0.98,0.8606237354,0.1193762646,75.124747072,-1.0,-1.0,75.124747072,74.124747072,317.936223375,301.7212474707,301.7212474707,317.936223375
0.99,0.8701882649,0.1198117351,76.0376529722,-1.0,-1.0,76.0376529722,75.0376529722,318.220406277,301.7403765297,301.7403765297,318.220406277
1.0,0.8797554028,0.1202445972,76.951080563,-1.0,-1.0,76.951080563,75.951080563,318.5059033705,301.7595108056,301.7595108056,318.5059033705
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,300.0,300.0
-0.01,-0.0048666333,-0.0051333667,-0.1791673034,0.2058406441,0.2058406441,-0.1791673034,0.0266733407,300.0018394629,300.0020035019,300.0020035019,300.0018394629
-0.02,-0.0094686658,-0.0105313342,-0.3330510987,0.4393179467,0.4393179467,-0.3330510987,0.106266848,300.0070149449,300.0083195096,300.0083195096,300.0070149449
-0.03,-0.0138122716,-0.0161877284,-0.463438345,0.7009840318,0.7009840318,-0.463438345,0.2375456868,300.0150040281,300.0193643636,300.0193643636,300.0150040281
-0.04,-0.0179070509,-0.0220929491,-0.572438514,0.9910283298,0.9910283298,-0.572438514,0.4185898157,300.0252937099,300.0354927895,300.0354927895,300.0252937099
-0.05,-0.0217651647,-0.0282348353,-0.6623751198,1.30934217,1.30934217,-0.6623751198,0.6469670502,300.0374041048,300.0569960961,300.0569960961,300.0374041048
-0.06,-0.0254003942,-0.0345996058,-0.7356624223,1.6555835738,1.6555835738,-0.7356624223,0.9199211516,300.0509072596,300.084104951,300.084104951,300.0509072596
-0.07,-0.0288272758,-0.0411727242,-0.7946872735,2.0292321083,2.0292321083,-0.7946872735,1.2345448348,300.0654388798,300.1169944674,300.1169944674,300.0654388798
-0.08,-0.0320604048,-0.0479395952,-0.8417113019,2.4296303356,2.4296303356,-0.8417113019,1.5879190337,300.0807025981,300.1557898643,300.1557898643,300.0807025981
-0.09,-0.0351139399,-0.0548860601,-0.8788012738,2.8560132885,2.8560132885,-0.8788012738,1.9772120147,300.096467879,300.2005717581,300.2005717581,300.096467879
-0.1,-0.0380012947,-0.0619987053,-0.9077885718,3.3075296249,3.3075296249,-0.9077885718,2.399741053,300.1125634322,300.2513808162,300.2513808162,300.1125634322
-0.11,-0.040734979,-0.069265021,-0.9302540129,3.7832582045,3.7832582045,-0.9302540129,2.8530041915,300.1288681274,300.3082218873,300.3082218873,300.1288681274
-0.12,-0.0433265459,-0.0766734541,-0.9475319778,4.2822227955,4.2822227955,-0.9475319778,3.3346908178,300.1453010992,300.3710678451,300.3710678451,300.1453010992
-0.13,-0.0457866057,-0.0842133943,-0.960727495,4.8034063459,4.8034063459,-0.960727495,3.8426788509,300.1618122466,300.4398633452,300.4398633452,300.1618122466
-0.14,-0.0481248775,-0.0918751225,-0.970740728,5.3457652214,5.3457652214,-0.970740728,4.3750244934,300.1783738465,300.5145285932,300.5145285932,300.1783738465
-0.15,-0.050350257,-0.099649743,-0.9782945769,5.9082431859,5.9082431859,-0.9782945769,4.929948609,300.1949736064,300.5949631251,300.5949631251,300.1949736064
-0.16,-0.0524708889,-0.1075291111,-0.9839624094,6.4897846308,6.4897846308,-0.9839624094,5.5058222214,300.2116092065,300.6810495366,300.6810495366,300.2116092065
-0.17,-0.0544942375,-0.1155057625,-0.9881940468,7.0893465505,7.0893465505,-0.9881940468,6.1011525037,300.2282842138,300.772657069,300.772657069,300.2282842138
-0.18,-0.0564271505,-0.1235728495,-0.9913389865,7.7059088769,7.7059088769,-0.9913389865,6.7145698904,300.2450051667,300.8696449606,300.8696449606,300.2450051667
-0.19,-0.0582759174,-0.1317240826,-0.9936664468,8.3384829615,8.3384829615,-0.9936664468,7.3448165148,300.2617796022,300.9718654891,300.9718654891,300.2617796022
-0.2,-0.0600463203,-0.1399536797,-0.9953822114,8.9861181544,8.9861181544,-0.9953822114,7.9907359429,300.2786148064,301.0791666576,301.0791666576,300.2786148064
-0.21,-0.0617436796,-0.1482563204,-0.9966424869,9.6479065618,9.6479065618,-0.9966424869,8.6512640749,300.2955170957,301.1913945036,301.1913945036,300.2955170957
-0.22,-0.0633728947,-0.1566271053,-0.9975651035,10.3229861568,10.3229861568,-0.9975651035,9.3254210533,300.3124914689,301.3083950301,301.3083950301,300.3124914689
-0.23,-0.0649384799,-0.1650615201,-0.9982384373,11.0105424638,11.0105424638,-0.9982384373,10.0123040265,300.3295415078,301.4300157802,301.4300157802,300.3295415078
-0.24,-0.0664445968,-0.1735554032,-0.9987284302,11.7098090629,11.7098090629,-0.9987284302,10.7110806327,300.3466694307,301.5561070844,301.5561070844,300.3466694307
-0.25,-0.0678950845,-0.1821049155,-0.9990840513,12.4200671511,12.4200671511,-0.9990840513,11.4209830999,300.3638762335,301.6865230175,301.6865230175,300.3638762335
-0.26,-0.0692934856,-0.1907065144,-0.9993415082,13.1406443836,13.1406443836,-0.9993415082,12.1413028753,300.3811618714,301.8211221053,301.8211221053,300.3811618714
-0.27,-0.0706430714,-0.1993569286,-0.9995274665,13.8709131868,13.8709131868,-0.9995274665,12.8713857203,300.3985254516,301.9597678212,301.9597678212,300.3985254516
-0.28,-0.0719468639,-0.2080531361,-0.9996614923,14.6102887105,14.6102887105,-0.9996614923,13.6106272181,300.415965417,302.1023289071,302.1023289071,300.415965417
-0.29,-0.0732076567,-0.2167923433,-0.9997578943,15.3582265501,15.3582265501,-0.9997578943,14.3584686557,300.4334797133,302.2486795543,302.2486795543,300.4334797133
-0.3,-0.0744280338,-0.2255719662,-0.9998271039,16.1142203486,16.1142203486,-0.9998271039,15.1143932446,300.4510659314,302.3986994728,302.3986994728,300.4510659314
-0.31,-0.0756103867,-0.2343896133,-0.9998767039,16.8777993582,16.8777993582,-0.9998767039,15.8779226543,300.4687214279,302.5522738732,302.5522738732,300.4687214279
-0.32,-0.0767569308,-0.2432430692,-0.999912192,17.6485260242,17.6485260242,-0.999912192,16.6486138323,300.4864434209,302.7092933829,302.7092933829,300.4864434209
-0.33,-0.0778697196,-0.2521302804,-0.9999375439,18.4259936337,18.4259936337,-0.9999375439,17.4260560898,300.5042290668,302.8696539134,302.8696539134,300.5042290668
-0.34,-0.0789506578,-0.2610493422,-0.9999556287,19.2098240616,19.2098240616,-0.9999556287,18.2098684329,300.5220755181,303.0332564931,303.0332564931,300.5220755181
-0.35,-0.0800015144,-0.2699984856,-0.9999685118,19.999665631,19.999665631,-0.9999685118,18.9996971192,300.5399799677,303.2000070761,303.2000070761,300.5399799677
-0.36,-0.0810239329,-0.2789760671,-0.9999776778,20.7951911013,20.7951911013,-0.9999776778,19.7952134235,300.5579396795,303.3698163361,303.3698163361,300.5579396795
-0.37,-0.082019442,-0.287980558,-0.9999841913,21.5960957873,21.5960957873,-0.9999841913,20.5961115959,300.5759520108,303.5425994526,303.5425994526,300.5759520108
-0.38,-0.082989465,-0.297010535,-0.9999888147,22.4020958106,22.4020958106,-0.9999888147,21.402106996,300.5940144256,303.7182758933,303.7182758933,300.5940144256
-0.39,-0.0839353281,-0.3060646719,-0.9999920929,23.2129264813,23.2129264813,-0.9999920929,22.2129343885,300.6121245037,303.8967691988,303.8967691988,300.6121245037
-0.4,-0.0848582681,-0.3151417319,-0.999994415,24.0283408031,24.0283408031,-0.999994415,23.0283463882,300.6302799437,304.0780067698,304.0780067698,300.6302799437
-0.41,-0.0857594398,-0.3242405602,-0.9999960583,24.8481080976,24.8481080976,-0.9999960583,23.8481120393,300.6484785643,304.2619196612,304.2619196612,300.6484785643
-0.42,-0.0866399224,-0.3333600776,-0.9999972201,25.6720127393,25.6720127393,-0.9999972201,24.6720155192,300.6667183018,304.4484423834,304.4484423834,300.6667183018
-0.43,-0.0875007252,-0.3424992748,-0.9999980409,26.4998529951,26.4998529951,-0.9999980409,25.4998549542,300.6849972076,304.6375127111,304.6375127111,300.6849972076
-0.44,-0.0883427933,-0.3516572067,-0.9999986203,27.3314399592,27.3314399592,-0.9999986203,26.3314413389,300.703313443,304.8290715021,304.8290715021,300.703313443
-0.45,-0.0891670123,-0.3608329877,-0.9999990289,28.1665965772,28.1665965772,-0.9999990289,27.1665975483,300.7216652747,305.0230625246,305.0230625246,300.7216652747
-0.46,-0.0899742128,-0.3700257872,-0.999999317,29.0051567519,29.0051567519,-0.999999317,28.005157435,300.7400510689,305.2194322933,305.2194322933,300.7400510689
-0.47,-0.090765175,-0.379234825,-0.9999995199,29.8469645242,29.8469645242,-0.9999995199,28.8469650043,300.7584692859,305.4181299152,305.4181299152,300.7584692859
-0.48,-0.0915406317,-0.3884593683,-0.9999996627,30.6918733217,30.6918733217,-0.9999996627,29.6918736591,300.7769184745,305.6191069441,305.6191069441,300.7769184745
-0.49,-0.0923012725,-0.3976987275,-0.9999997631,31.5397452713,31.5397452713,-0.9999997631,30.5397455082,300.7953972667,305.8223172432,305.8223172432,300.7953972667
-0.5,-0.0930477463,-0.4069522537,-0.9999998337,32.3904505675,32.3904505675,-0.9999998337,31.3904507337,300.813904372,306.0277168559,306.0277168559,300.813904372
-0.51,-0.0937806649,-0.4162193351,-0.9999998834,33.2438668939,33.2438668939,-0.9999998834,32.2438670106,300.832438573,306.2352638855,306.2352638855,300.832438573
-0.52,-0.0945006051,-0.4254993949,-0.9999999182,34.0998788921,34.0998788921,-0.9999999182,33.0998789739,300.8509987201,306.4449183804,306.4449183804,300.8509987201
-0.53,-0.0952081113,-0.4347918887,-0.9999999427,34.9583776731,34.9583776731,-0.9999999427,33.9583777304,300.8695837275,306.6566422281,306.6566422281,300.8695837275
-0.54,-0.095903698,-0.444096302,-0.9999999598,35.8192603692,35.8192603692,-0.9999999598,34.8192604093,300.8881925684,306.8703990547,306.8703990547,300.8881925684
-0.55,-0.0965878513,-0.4534121487,-0.9999999719,36.6824297212,36.6824297212,-0.9999999719,35.6824297494,300.906824272,307.086154131,307.086154131,300.906824272
-0.56,-0.0972610314,-0.4627389686,-0.9999999803,37.5477936991,37.5477936991,-0.9999999803,36.5477937187,300.925477919,307.3038742844,307.3038742844,300.925477919
-0.57,-0.0979236742,-0.4720763258,-0.9999999862,38.4152651514,38.4152651514,-0.9999999862,37.4152651652,300.9441526386,307.523527816,307.523527816,300.9441526386
-0.58,-0.0985761925,-0.4814238075,-0.9999999904,39.2847614837,39.2847614837,-0.9999999904,38.2847614933,300.9628476056,307.7450844233,307.7450844233,300.9628476056
-0.59,-0.0992189782,-0.4907810218,-0.9999999933,40.1562043601,40.1562043601,-0.9999999933,39.1562043668,300.981562037,307.9685151273,307.9685151273,300.981562037
-0.6,-0.0998524028,-0.5001475972,-0.9999999953,41.029519429,41.029519429,-0.9999999953,40.0295194337,301.0002951896,308.193792204,308.193792204,301.0002951896
-0.61,-0.1004768196,-0.5095231804,-0.9999999967,41.9046360687,41.9046360687,-0.9999999967,40.904636072,301.0190463574,308.4208891207,308.4208891207,301.0190463574
-0.62,-0.1010925642,-0.5189074358,-0.9999999977,42.7814871528,42.7814871528,-0.9999999977,41.7814871551,301.0378148692,308.6497804752,308.6497804752,301.0378148692
-0.63,-0.1016999558,-0.5283000442,-0.9999999984,43.6600088325,43.6600088325,-0.9999999984,42.6600088341,301.0566000866,308.8804419396,308.8804419396,301.0566000866
-0.64,-0.1022992983,-0.5377007017,-0.9999999989,44.5401403348,44.5401403348,-0.9999999989,43.540140336,301.0754014022,309.1128502067,309.1128502067,301.0754014022
-0.65,-0.1028908811,-0.5471091189,-0.9999999992,45.4218237762,45.4218237762,-0.9999999992,44.4218237769,301.0942182369,309.3469829404,309.3469829404,301.0942182369
-0.66,-0.1034749801,-0.5565250199,-0.9999999995,46.3050039884,46.3050039884,-0.9999999995,45.3050039889,301.1130500393,309.5828187283,309.5828187283,301.1130500393
-0.67,-0.1040518582,-0.5659481418,-0.9999999996,47.1896283578,47.1896283578,-0.9999999996,46.1896283582,301.1318962831,309.8203370376,309.8203370376,301.1318962831
