V,v1,v2,Id1,Id2,Id3,Id4,Ir
-0.04,-0.0179066018,-0.0220933982,-0.5724765265,0.9911561602,0.9911561602,-0.5724765265,0.4186796337
-0.06,-0.0253982569,-0.0346017431,-0.7357438214,1.6560924394,1.6560924394,-0.7357438214,0.920348618
-0.08,-0.032054142,-0.047945858,-0.8418278786,2.4309994858,2.4309994858,-0.8418278786,1.5891716072
-0.1,-0.0379872389,-0.0620127611,-0.9079207995,3.3104730256,3.3104730256,-0.9079207995,2.4025522261
-0.12,-0.0432998858,-0.0767001142,-0.947660524,4.2876833654,4.2876833654,-0.947660524,3.3400228414
-0.14,-0.0480798277,-0.0919201723,-0.9708526489,5.3548871145,5.3548871145,-0.9708526489,4.3840344656
-0.16,-0.052400899,-0.107599101,-0.9840520815,6.503872284,6.503872284,-0.9840520815,5.5198202025
-0.18,-0.0563251219,-0.1236748781,-0.9914063015,7.7263819226,7.7263819226,-0.9914063015,6.7349756211
-0.2,-0.059904805,-0.140095195,-0.9954301584,9.0144691532,9.0144691532,-0.9954301584,8.0190389948
-0.22,-0.0631842639,-0.1568157361,-0.99759781,10.360745035,10.360745035,-0.99759781,9.3631472249
-0.24,-0.0662011722,-0.1737988278,-0.9987499482,11.7585155049,11.7585155049,-0.9987499482,10.7597655567
-0.26,-0.0689876374,-0.1910123626,-0.999355238,13.2018277487,13.2018277487,-0.999355238,12.2024725107
-0.28,-0.0715710789,-0.2084289211,-0.9996700261,14.6854542542,14.6854542542,-0.9996700261,13.6857842281
-0.3,-0.0739749597,-0.2260250403,-0.9998322894,16.2048403406,16.2048403406,-0.9998322894,15.2050080512
-0.32,-0.076219404,-0.243780596,-0.9999152815,17.7560344767,17.7560344767,-0.9999152815,16.7561191952
-0.34,-0.0783217171,-0.2616782829,-0.999957438,19.3356140204,19.3356140204,-0.999957438,18.3356565824
-0.36,-0.0802968251,-0.2797031749,-0.9999787215,20.9406137043,20.9406137043,-0.9999787215,19.9406349828
-0.38,-0.0821576444,-0.2978423556,-0.9999894087,22.5684605289,22.5684605289,-0.9999894087,21.5684711202
-0.4,-0.0839153915,-0.3160846085,-0.999994749,24.2169164522,24.2169164522,-0.999994749,23.2169217031
-0.42,-0.0855798422,-0.3344201578,-0.999997406,25.8840289693,25.8840289693,-0.999997406,24.8840315633
-0.44,-0.0871595485,-0.3528404515,-0.9999987227,27.5680890248,27.5680890248,-0.9999987227,26.5680903021
-0.46,-0.0886620197,-0.3713379803,-0.9999993729,29.2675954249,29.2675954249,-0.9999993729,28.267596052
-0.48,-0.0900938742,-0.3899061258,-0.999999693,30.9812248549,30.9812248549,-0.999999693,29.9812251619
-0.5,-0.091460966,-0.408539034,-0.9999998501,32.7078066486,32.7078066486,-0.9999998501,31.7078067985
-0.52,-0.0927684919,-0.4272315081,-0.9999999269,34.4463015488,34.4463015488,-0.9999999269,33.4463016219
-0.54,-0.0940210808,-0.4459789192,-0.9999999645,36.1957838005,36.1957838005,-0.9999999645,35.195783836
-0.56,-0.0952228698,-0.4647771302,-0.9999999828,37.9554260192,37.9554260192,-0.9999999828,36.9554260365
-0.58,-0.0963775681,-0.4836224319,-0.9999999916,39.7244863717,39.7244863717,-0.9999999916,38.7244863801
-0.6,-0.0974885116,-0.5025114884,-0.999999996,41.5022976807,41.5022976807,-0.999999996,40.5022976848
-0.62,-0.0985587093,-0.5214412907,-0.999999998,43.2882581374,43.2882581374,-0.999999998,42.2882581394
-0.64,-0.0995908832,-0.5404091168,-0.9999999991,45.0818233571,45.0818233571,-0.9999999991,44.0818233581
-0.66,-0.1005875022,-0.5594124978,-0.9999999995,46.8824995625,46.8824995625,-0.9999999995,45.8824995629
-0.68,-0.1015508114,-0.5784491886,-0.9999999998,48.6898377137,48.6898377137,-0.9999999998,47.6898377139
-0.7,-0.1024828578,-0.5975171422,-0.9999999999,50.503428439,50.503428439,-0.9999999999,49.5034284392
-0.72,-0.1033855118,-0.6166144882,-0.9999999999,52.3228976413,52.3228976413,-0.9999999999,51.3228976414
-0.74,-0.1042604866,-0.6357395134,-1.0,54.1479026789,54.1479026789,-1.0,53.147902679
-0.76,-0.1051093548,-0.6548906452,-1.0,55.978129036,55.978129036,-1.0,54.978129036
-0.78,-0.1059335629,-0.6740664371,-1.0,57.8132874102,57.8132874102,-1.0,56.8132874102
-0.8,-0.1067344442,-0.6932655558,-1.0,59.6531111588,59.6531111588,-1.0,58.6531111588
-0.82,-0.1075132297,-0.7124867703,-1.0,61.4973540524,61.4973540524,-1.0,60.4973540524
-0.84,-0.1082710585,-0.7317289415,-1.0,63.345788294,63.345788294,-1.0,62.345788294
-0.86,-0.1090089862,-0.7509910138,-1.0,65.198202767,65.198202767,-1.0,64.198202767
-0.88,-0.1097279926,-0.7702720074,-1.0,67.0544014829,67.0544014829,-1.0,66.0544014829
-0.9,-0.110428989,-0.789571011,-1.0,68.9142022013,68.9142022013,-1.0,67.9142022013
-0.92,-0.111112824,-0.808887176,-1.0,70.7774352008,70.7774352008,-1.0,69.7774352008
-0.94,-0.1117802891,-0.8282197109,-1.0,72.6439421819,72.6439421819,-1.0,71.6439421819
-0.96,-0.1124321236,-0.8475678764,-1.0,74.513575285,74.513575285,-1.0,73.513575285
-0.98,-0.1130690189,-0.8669309811,-1.0,76.38619621,76.38619621,-1.0,75.38619621
-1.0,-0.1136916229,-0.8863083771,-1.0,78.2616754254,78.2616754254,-1.0,77.2616754254
